No,base_url,section,section_url,group,group_url,url,sub_urls,title,title_kanji,title_kana,description,文字数,ステータス,修正後回答,用語(Kanji),用語(Hiragana),類義(synonyms1),類義(synonyms2),類義(synonyms3),類義(synonyms4),類義(synonyms5),類義(synonyms6),類義(synonyms7),類義(synonyms8),類義(synonyms9),類義(synonyms10),,,,,メモ(memo),受領日
34,https://www.aeonlife.jp/glossary/,あ行,https://www.aeonlife.jp/glossary/word/a_list.html,あ,,https://www.aeonlife.jp//glossary/word/okamisori.html,,お剃刀 （おかみそり）,お剃刀,おかみそり,葬式にさいして導師が死者に対し、戒を授けて髪を剃る儀式。帰敬式とも言います。「お剃刀」の儀式は、本来は戒師が出家する者に戒を授けて髪を剃るものですが、この場合は在家の者が対象で、門主や管長が髪に剃刀をあてる真似をして仏門に帰依した証とする儀式です。これは釈迦が太子であったとき、発心して城を出て仙人のところに行き、自ら利剣をもって、髪を切ったことに由来します。,180,修正中,ご葬儀の際、導師が死者に対し、戒を授けて髪を剃る儀式。帰敬式とも言います。「お剃刀」の儀式は、釈迦が太子であったとき発心して城を出て仙人のところに行き、自ら利剣をもって髪を切ったことに由来します。,お剃刀,おかみそり,,,,,,,,,,,,,,,,20/4/18
427,https://www.e-sogi.com/glossary/,,,お,https://www.e-sogi.com/glossary/#お,https://www.e-sogi.com/glossary/#1461748618-767311,"url:/faq/18.html title:よくある質問「お布施とは？」
url:http://www.e-sogi.com/magazine/?p=318 title:お葬式のお布施の話
url:/ofuse/4.html title:正しいお布施の渡し方
url:/ofuse/5.html title:どうしてお布施の金額を教えてくれないの？",お布施,,,"僧侶や寺院へのお礼や寄進のことをいい、一般的には法要における読経や戒名を付けてもらったことに対しての謝礼を指す。
本来は金額の相場が決まっているものではないが、寺院によっては料金を明示していることもある。",102,修正中,"①僧侶や寺院へのお礼や寄進のことをいい、一般的には法要における読経や戒名を付けてもらったことに対しての謝礼を指す。本来は金額の相場が決まっているものではないが、寺院によっては料金を明示していることもある。
②僧に読経などの謝礼として渡す、金銭や品物。「―を包む」 お布施の額は地域や宗派によって違いますから、僧侶、あるいは世話役に相談するようアドバイスします。また僧侶への払いは、葬儀・葬式が終わったときが本来の形ですが、法事が始まる前という場合もあります。
③葬儀や法事のお礼として、僧侶･寺院にお納めする金銭。お布施の額は、僧侶や世話役に相談するとよいでしょう。また最近では要請すれば領収書を発行してくれる寺院が増えています。
",お布施,おふせ,,,,,,,,,,,,,,,,20/4/18
42,http://www.sakata-sousai.com/word/,あ行,,,,http://www.sakata-sousai.com/word/word_023.html,,お別れの儀 おわかれのぎ,お別れの儀,おわかれのぎ,火葬のための出棺を前にし、棺の蓋を外し、遺族らが遺体と対面し花などを入れて最後の別れのときをもつこと。,51,修正中,出棺を前に棺の蓋を外し遺族らがご遺体と対面し花などを入れて最後の別れの時をもつことをいいます。,お別れの儀,おわかれのぎ,,,,,,,,,,,,,,,,17/5/18
428,https://kotobank.jp/dictionary/sougi/,,,葬儀辞典,,https://kotobank.jp/word/%E3%81%8A%E5%88%A5%E3%82%8C%E4%BC%9A-1457153,"url:https://kotobank.jp/dictionary/sougi/word/%E5%91%8A%E5%88%A5%E5%BC%8F-499786 title:告別式
url:https://kotobank.jp/dictionary/sougi/word/%E4%BC%9A%E5%BC%8F-36394 title:会式
url:https://kotobank.jp/dictionary/sougi/word/%E5%AF%86%E8%91%AC-638717 title:密葬",お別れ会,,,宗教的な意義がある葬儀・告別式とは異なり、生前に親交があった方々と故人とのお別れを目的として開かれる会式。儀礼的な制約が無いため、希望通りの演出で会式を進行することが可能です。通常は、密葬の後に日を改めてホテルやレストランなどでお別れ会を開きます。,124,修正中,宗教的な意義がある葬儀・告別式とは異なり、生前に親交があった方々と故人様とのお別れを目的として開かれる会式のことをいいます。儀礼的な制約が無いため、希望通りの演出で会式を進行することが可能。密葬後に日を改めてホテルなどでお別れ会を開きます。,お別れ会,おわかれかい,,,,,,,,,,,,,,,,20/4/18
39,http://souzoku-sougi.com/publics/index/139/,あ行,http://souzoku-sougi.com/publics/index/139/#page139_368_631,,,http://souzoku-sougi.com/publics/index/139/#page139_130_392,,お墓(おはか),お墓,おはか,死者の遺骸や遺骨を葬った所。塚。古くは4万年以上前、ネアンデルタール人によって死者たちを葬った共同墓地が発見されています。日本では仏教渡来以前から、古代大和王朝の天皇や遺族は中国の儒教や道教などの影響を受けて状大な古墳や塚をつくっていました。これが、記念碑的な墓の概念が形に残された始まりといえます。しかし一般的には遺体を山に捨てたり、遺灰を野にまいたりが多く、葬るという言葉も放ると同義で遺体を捨てていたことを裏付けています。時代によってお墓の概念は変わりつづけ、場所や形態なども独自の形をとっています。,253,修正中,お墓とは、故人様を埋葬する場所です。埋葬した後は手を合わせ、供養の対象となる場所でもあります。,お墓,おはか,,,,,,,,,,,,,,,,20/4/18
430,http://www.osohshiki.jp/knowledge/words/,,,か,http://www.osohshiki.jp/knowledge/words/ka.html,,,カトリック(かとりっく),,,カトリック教会の信徒。地上におけるキリストの代理者としてのローマ教皇を首長とするキリスト教の一派。カソリック。公教会。カトリックはギリシャ語で「普遍的」という意味。キリスト教の信仰によれば、洗礼を受けた信徒はキリストに結ばれますが、故人がキリストとともに、永遠の生命に移るように祈るのが葬儀です。カトリックの葬儀・葬式はほとんど教会で行い、司祭は神父が行います。,181,修正中,カトリック教会の信徒をいいます。地上におけるキリストの代理者としてのローマ教皇を首長とするキリスト教の一派。カトリックはギリシャ語で「普遍的」という意味です。,カトリック,かとりっく,,,,,,,,,,,,,,,,20/4/18
431,http://souzoku-sougi.com/publics/index/139/,か行,http://souzoku-sougi.com/publics/index/139/#page139_368_632,,,http://souzoku-sougi.com/publics/index/139/&anchor_link=page139_130_418#page139_130_418,,カロート,カロート,,お墓で遺骨を納める部分。お墓への遺骨の埋葬は、骨壺単位で納める場合と、地方によっては「カロート」の中に骨だけをまく地域もあります。,65,修正中,お墓で遺骨を納める部分のことをいいます。お墓への遺骨の埋葬は、骨壺単位で納める場合と地方によっては「カロート」の中に骨だけをまく地域もあります。,カロート,かろーと,,,,,,,,,,,,,,,,20/4/18
432,https://kotobank.jp/dictionary/sougi/,,,葬儀辞典,,https://kotobank.jp/word/%E3%82%AD%E3%83%A3%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88-476181#E8.91.AC.E5.84.80.E8.BE.9E.E5.85.B8,"url:https://kotobank.jp/dictionary/sougi/word/%E6%9C%A8%E6%A3%BA-142479 title:木棺
url:https://kotobank.jp/dictionary/sougi/word/%E5%A4%A7%E7%90%86%E7%9F%B3-92269 title:大理石",キャスケット,,,土葬用の棺のこと。装飾された立派なもので、木棺だけでなく、大理石から造られたものなど多くの種類があります。,53,修正中,"①土葬用の棺のこと。装飾された立派なもので、木棺だけでなく、大理石から造られたものなど多くの種類があります。
②日本でいう「棺」のことです。キャスケットは「宝石の小箱」「貴重品入れ」から転じた言葉で、土葬用の装飾された立派な棺のことをいいます。欧米では、木棺だけではなく大理石などで作られたさまざまな種類のキャスケットがあります。
③日本でいう「棺」のこと。キャスケットは「宝石の小箱」「貴重品入れ」から転じた言葉で、土葬用の装飾された立派な棺のことをいいます。欧米では、木棺だけでなく、大理石などで作られたさまざまな種類のキャスケットがある。
",キャスケット,きゃすけっと,,,,,,,,,,,,,,,,20/4/18
433,https://kotobank.jp/dictionary/sougi/,,,葬儀辞典,,https://kotobank.jp/word/%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99-53666#E8.91.AC.E5.84.80.E8.BE.9E.E5.85.B8,url:https://kotobank.jp/dictionary/sougi/word/%E5%AE%97%E6%B4%BE-77336 title:宗派,キリスト教,,,イエス・キリストを神の子とし、唯一絶対の神によって救いを得るという教え。様々な宗派がありますが、大きく分けるとカトリックとプロテスタントの2つに分かれます。キリスト教では、死によって人間の肉体から魂が開放され神のもとに昇天すると考えられています。,123,修正中,イエス・キリストを神の子とし、唯一絶対の神によって救いを得るという教えのことをいいます。様々な宗派がありますが、大きく分けるとカトリックとプロテスタントの2つに分かれます。,キリスト教,きりすときょう,,,,,,,,,,,,,,,,20/4/18
93,http://www.aoisousai.net/category/1531697.html,,,,,,,ぐりーふ(グリーフ),グリーフ,ぐりーふ,英語で「死別の悲嘆」のことを言う。死別を体験した遺族は悲嘆に陥り、場合によりショックを受け無反応になったり、怒りが他者や自分に向けられたり、抑鬱状態に陥る。参照「悲嘆」。,85,修正中,英語で「死別の悲嘆」のことをいいます。死別を体験したご遺族は悲嘆に陥り、場合によりショックを受け無反応になったり、怒りが他者や自分に向けられたり、抑鬱状態に陥ることをいいます。,グリーフ,ぐりーふ,,,,,,,,,,,,,,,,17/5/18
435,https://www.e-sogi.com/glossary/,,,く,https://www.e-sogi.com/glossary/#く,https://www.e-sogi.com/glossary/#1461495052-079607,url:http://www.e-sogi.com/arekore/griefcare.html title:グリーフケア,グリーフケア,,,"大切な人を失った遺族が、その悲しみや心の傷を乗り越え、立ち直っていく過程を見守り、さまざまなかたちでサポートすること。
グリーフ（grief）とは、「悲嘆、深い悲しみ」という意味。",90,修正中,死別を経験しますと、しらずしらずに亡くなった人を思い慕う気持ちを中心に湧き起こる感情・情緒に心が占有されそうになります。また一方では死別という現実に対応して、この窮地をなんとかしないといけないと努力を試みます。この共存する二つの間で揺れ動き、不安定な状態となってしまいます。また、同時に身体上にも不愉快な反応・違和感を感じたりします。これらを「グリーフ」と言います。グリーフの時期には「自分とは何か」「死とは…」「死者とは…」などの問いかけをも行っていると言われています。このことを「ケア」（援助する事）をグリーフケアといいます。,グリーフケア,ぐりーふけあ,,,,,,,,,,,,,,,FCCNo757 文字数オーバー,20/4/18
434,http://souzoku-sougi.com/publics/index/139/,か行,http://souzoku-sougi.com/publics/index/139/#page139_368_632,,,http://souzoku-sougi.com/publics/index/139/&anchor_link=page139_130_430#page139_130_431,,グリーフ・ワーク,グリーフ・ワーク,,直訳すると「悲しみの作業」。グリーフは英語で、通常の悲しみとは別で特に死別などで起こる深い悲しみ・悲嘆を意味します。この悲しみは特別なものではなく自然なことであり、悲しむことによって自然に治療されていきます。この遺族の悲しみの癒しを「グリーフ・ワーク」と呼びます。葬儀は遺族の心の深い悲しみを思いやり、このグリーフ・ワークに役立つものという認識から、葬儀の機能として近年注目されています。,194,修正中,グリーフは英語で、通常の悲しみとは別で特に死別などで起こる深い悲しみ・悲嘆を意味します。この悲しみは特別なものではなく自然なことであり、悲しむことによって自然に治療されていきます。このご遺族様の悲しみの癒しを「グリーフ・ワーク」と呼びます。,グリーフワーク,ぐりーふわーく,,,,,,,,,,,,,,,,20/4/18
436,https://kotobank.jp/dictionary/sougi/,,,葬儀辞典,,https://kotobank.jp/word/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%81%E3%83%A3%E3%83%B3%E3%83%BB%E3%83%8D%E3%83%BC%E3%83%A0-831405#E8.91.AC.E5.84.80.E8.BE.9E.E5.85.B8,"url:https://kotobank.jp/dictionary/sougi/word/%E5%84%80%E5%BC%8F-473492 title:儀式
url:https://kotobank.jp/dictionary/sougi/word/%E8%81%96%E8%80%85-85933 title:聖者",クリスチャン・ネーム,,,キリスト教で、洗礼の儀式の際授けられる名前。一般に聖者の名を用います。,35,修正中,キリスト教で洗礼の儀式の際授けられる名前のことをいいます。一般に聖者の名を用います。,クリスチャンネーム,くりすちゃんねーむ,,,,,,,,,,,,,,,,20/4/18
437,https://www.e-sogi.com/glossary/,,,く,https://www.e-sogi.com/glossary/#く,https://www.e-sogi.com/glossary/#1461495019-566572,url:http://www.e-sogi.com/okonau/ihai.html title:位牌,くりだし位牌,,,"複数の戒名が書かれた木版を一つに納められるようになっている位牌のこと。位牌が多数あり、仏壇に納めきれないときなどに使用される（10～15枚くらい収納可能）。
普段は「○○家先祖代々之霊位」などと書かれたものをいちばん手前にして祭り、法要の際には該当する故人のものを前にする。
位牌にはこのほか、個々に置かれる「本位牌」や、四十九日まで使用される「白木位牌」がある。",182,修正中,複数の戒名が書かれた木版を一つに納められるようになっている位牌のことをいいます。位牌が多数あり、仏壇に納めきれないときなどに使用されます。,くりだし位牌,くりだしいはい,,,,,,,,,,,,,,,,20/4/18
438,https://kotobank.jp/dictionary/sougi/,,,葬儀辞典,,https://kotobank.jp/word/%E3%82%AF%E3%83%AC%E3%83%AA%E8%91%AC-1457193,,クレリ葬,,,生活協同組合の「コープこうべ」が、1989年に兵庫県葬祭事業協同組合連合会と提携して始めた生協葬の名称。クレリ葬は、兵庫県在住の方を対象としています。「クレリ」とは、フランス語の「光＝クレール」からとった造語です。,107,修正中,生活協同組合のコープこうべが、1989年に兵庫県葬祭事業協同組合連合会と提携して始めた生協葬の名称のことをいいます。クレリ葬は、兵庫県在住の方を対象としています。,クレリ葬,くれりそう,,,,,,,,,,,,,,,掲載する？,20/4/18
111,http://heiansaiten.co.jp/glossary.html,,,,,http://heiansaiten.co.jp/g015,,ご愁傷(ごしゅうしょう),ご愁傷,ごしゅうしょう,"人の死を悼み悲しむこと。お悔やみ言葉。 同じような意味では、悲哀、哀愁、悲傷、感傷、
傷心、憂愁、悲嘆、悲痛、哀惜、追悼、哀切、哀悼、沈痛、悲槍、寂莫などがある。",81,修正中,人の死を悼み悲しむこと。お悔やみ言葉のことをいいます。 同じような意味では、悲哀、哀愁、悲傷、感傷、,ご愁傷,ごしゅうしょう,,,,,,,,,,,,,,,,17/5/18
439,http://www.osohshiki.jp/knowledge/words/,,,こ,http://www.osohshiki.jp/knowledge/words/ko.html,,,ご令室(ごれいしつ),,,他人の奥様。一般的に、弔電や訃報で用いられる事が多く使われます。,32,修正中,他人の奥様のことをいいます。一般的に弔電や訃報で用いられる事が多いです。,ご令室,ごれいしつ,,,,,,,,,,,,,,,,20/4/18
143,https://www.aeonlife.jp/glossary/,さ行,https://www.aeonlife.jp/glossary/word/sa_list.html,さ,,https://www.aeonlife.jp//glossary/word/shinobite.html,,しのび手 （しのびて）,しのび手,しのびて,神道で用いる、音を立てないように合わす拍手。神式葬儀に行います。玉串奉奠の後、遺影を正視し、冥福を祈って二礼・二拍手・一礼するが、このときにしのび手にします。また故人の一年祭までしのび手にします。,98,修正中,"①葬儀などで音を立てずに手を打ち合わせること。神式の葬儀において、玉串奉奠（たまぐしほうてん）の後に二礼二拍手一礼をする際、二拍手はしのび手で行う。反対に、音を鳴らして手を打ち合わせることを「柏手（かしわで）」という。
②神道で用いる、音を立てないように合わす拍手。神式葬儀に行います。玉串奉奠の後、遺影を正視し、冥福を祈って二礼・二拍手・一礼するが、このときにしのび手にします。また故人の一年祭までしのび手にします。
③神道の拝礼は2礼2拍手1拝であり、拍手のときのような両手を音を出して叩くようなやり方ではなく、両手を打つ手前で止め、音を立てない拍手をすることをいいます。玉串奉奠の後、遺影を正視し、冥福を祈って二礼・二拍手・一礼するが、このときにしのび手にします。また故人の一年祭までしのび手にします。
",しのび手,しのびて,忍手,忍び手,短手,しのびで,,,,,,,,,,,,20/4/18
440,https://kotobank.jp/dictionary/sougi/,,,葬儀辞典,,https://kotobank.jp/word/%E3%82%BF%E3%83%BC%E3%83%9F%E3%83%8A%E3%83%AB%E3%82%B1%E3%82%A2-169045#E8.91.AC.E5.84.80.E8.BE.9E.E5.85.B8,"url:https://kotobank.jp/dictionary/sougi/word/%E5%AE%89%E5%AE%9A-429516 title:安定
url:https://kotobank.jp/dictionary/sougi/word/%E4%BB%8B%E8%AD%B7-457171 title:介護",ターミナルケア,,,回復の見込みのない患者に対して苦痛を軽減し、精神的な安定を与えるように施される医療や介護。いわゆる終末医療。,54,修正中,回復の見込みのない患者に対して苦痛を軽減し、精神的な安定を与えるように施される医療や介護のことをいいます。,ターミナルケア,たーみなるけあ,,,,,,,,,,,,,,,,20/4/18
441,http://www.osohshiki.jp/knowledge/words/,,,と,http://www.osohshiki.jp/knowledge/words/to.html,,,ドライアイス(どらいあいす),,,固体の二酸化炭素。炭酸ガスを圧縮・液化し、冷却して固化させたもの。昇華するため液体にならない。冷却剤として遺体の防腐に用います。マイナス78.5度。特に、臓器、脳の周辺に置きます。,90,修正中,炭酸ガスを圧縮・液化し、冷却して固化させたもの。冷却剤としてご遺体の防腐に用います。特に、臓器、脳の周辺に置きます。,ドライアイス,どらいあいす,,,,,,,,,,,,,,,,20/4/18
442,https://www.e-sogi.com/glossary/,,,ふ,https://www.e-sogi.com/glossary/#ふ,https://www.e-sogi.com/glossary/#1461815584-724376,"url:http://www.e-sogi.com/okonau/free.html title:自由葬・音楽葬
url:http://www.e-sogi.com/magazine/?p=2929 title:【行ってきました】“不死蝶のアニソンシンガー”和田光司さんのお別れの会……",フラワー葬,,,"生前、故人が好んだ花を飾って送る葬儀。「自由葬」の一つ。
「自由葬」とは、宗教宗派にとらわれず、故人の趣味や愛好したものを用いて故人の個性を表した式を執り行うもの。ほかに音楽葬などがある。
なお、フラワー葬に使用する花は、白に限らず色とりどりの花でよいが、とげのあるものは避ける場合もある。",145,修正中,生前、故人が好んだ花を飾って送る葬儀のことをいい、「自由葬」の一つです。フラワー葬に使用する花は、白に限らず色とりどりの花でよいが、とげのあるものは避ける場合もあります。,フラワー葬,ふらわーそう,,,,,,,,,,,,,,,,20/4/18
443,http://www.osohshiki.jp/knowledge/words/,,,ふ,http://www.osohshiki.jp/knowledge/words/fu.html,,,プロテスタント(ぷろてすたんと),,,《反抗する者、抗議者の意》16世紀のルターやカルバンの宗教改革後、ローマカトリック教会の信仰理解に反抗し、分離形成されたキリスト教各派、およびその信徒の総称。北部ヨーロッパ・イギリス・北アメリカにおいて優勢である。プロテスタント教会自身は福音主義教会と公称する。新教徒。,135,修正中,16世紀のルターやカルバンの宗教改革後、ローマカトリック教会の信仰理解に反抗し、分離形成されたキリスト教各派およびその信徒の総称をいいます。北部ヨーロッパ・イギリス・北アメリカにおいて優勢であります。,プロテスタント,ぷろてすたんと,,,,,,,,,,,,,,,,20/4/18
444,https://www.e-sogi.com/glossary/,,,へ,https://www.e-sogi.com/glossary/#へ,https://www.e-sogi.com/glossary/#1461749604-374961,"url:http://www.e-sogi.com/okonau/pet.html title:ペット葬儀
url:http://www.e-sogi.com/magazine/?p=1785 title:【行ってきました】ペットと一緒に眠れる都心の樹木葬墓地",ペット葬,,,ペットの葬儀のこと。,10,修正中,ペットのご葬儀のことをいいます。,ペット葬,ぺっとそう,,,,,,,,,,,,,,,,20/4/18
